1085,webobjects,TARGET
1093,proofd,TARGET
1094,rootd,TARGET
1096,cnrprotocol,TARGET
1098,rmiactivation,TARGET
1099,rmiregistry,TARGET
1100,mctp,TARGET
1104,xrl,TARGET
1106,isoipsigport-1,TARGET
1107,isoipsigport-2,TARGET
1108,ratio-adp,TARGET
1148,elfiq-repl,TARGET
1169,tripwire,TARGET
1272,cspmlockmgr,TARGET
1310,husky,TARGET
1687,nsjtp-ctrl,TARGET
1718,h323gatedisc,TARGET
1783,unknown,TARGET
1840,netopia-vo2,TARGET
1947,sentinelsrm,TARGET
2100,amiganetfs,TARGET
2119,gsigatekeeper,TARGET
2135,gris,TARGET
2144,lv-ffx,TARGET
2160,apc-2160,TARGET
2190,tivoconnect,TARGET
2260,apc-2260,TARGET
2381,compaq-https,TARGET
2399,fmpro-fdal,TARGET
2492,groove,TARGET
2607,connection,TARGET
2718,pn-requester2,TARGET
2811,gsiftp,TARGET
2875,dxmessagebase2,TARGET
3017,event_listener,TARGET
3031,eppc,TARGET
3071,csd-mgmt-port,TARGET
3211,avsecuremgmt,TARGET
3300,ceph,TARGET
3301,tarantool,TARGET
3323,active-net,TARGET
3325,active-net,TARGET
3351,btrieve,TARGET
3367,satvid-datalnk,TARGET
3404,unknown,TARGET
3551,apcupsd,TARGET
3580,nati-svrloc,TARGET
3659,apple-sasl,TARGET
3766,sitewatch-s,TARGET
3784,bfd-control,TARGET
3801,ibm-mgr,TARGET
3827,netmpi,TARGET
3998,dnx,TARGET
4003,pxc-splr-ft,TARGET
4126,ddrepl,TARGET
4129,nuauth,TARGET
4449,privatewire,TARGET
5030,surfpass,TARGET
5222,xmpp-client,TARGET
5269,xmpp-server,TARGET
5414,statusd,TARGET
5633,beorl,TARGET
5718,dpm,TARGET
5810,unknown,TARGET
5825,unknown,TARGET
5877,unknown,TARGET
5910,cm,TARGET
5911,cpdlc,TARGET
5925,unknown,TARGET
5959,unknown,TARGET
5960,unknown,TARGET
5961,unknown,TARGET
5962,unknown,TARGET
5985,wsman,TARGET
5986,wsmans,TARGET
5987,wbem-rmi,TARGET
5988,wbem-http,TARGET
5989,wbem-https,TARGET
6123,backup-express,TARGET
6129,unknown,TARGET
6156,unknown,TARGET
6389,clariion-evr01,TARGET
6580,parsec-master,TARGET
6788,smc-http,TARGET
6901,jetstream,TARGET
7106,unknown,TARGET
7625,unknown,TARGET
7627,soap-http,TARGET
7741,scriptview,TARGET
7777,cbt,TARGET
7778,interwise,TARGET
7911,unknown,TARGET
8086,d-s-n,TARGET
8087,simplifymedia,TARGET
8181,intermapper,TARGET
8222,unknown,TARGET
8333,bitcoin,TARGET
8400,cvd,TARGET
8402,abarsd,TARGET
8600,asterix,TARGET
8649,unknown,TARGET
8873,dxspider,TARGET
8994,unknown,TARGET
9002,dynamid,TARGET
9010,sdr,TARGET
9011,d-star,TARGET
9080,glrpc,TARGET
9220,unknown,TARGET
9290,unknown,TARGET
9485,unknown,TARGET
9500,ismserver,TARGET
9502,unknown,TARGET
9503,unknown,TARGET
9618,condor,TARGET
9900,iua,TARGET
9968,unknown,TARGET
10002,documentum,TARGET
10012,unknown,TARGET
10024,unknown,TARGET
10025,unknown,TARGET
10566,unknown,TARGET
10616,unknown,TARGET
10617,unknown,TARGET
10621,unknown,TARGET
10626,unknown,TARGET
10628,unknown,TARGET
10629,unknown,TARGET
11110,sgi-soap,TARGET
11967,sysinfo-sp,TARGET
13456,unknown,TARGET
14000,scotty-ft,TARGET
14442,unknown,TARGET
15002,onep-tls,TARGET
15003,unknown,TARGET
15660,bex-xr,TARGET
16001,fmsascon,TARGET
16016,unknown,TARGET
16018,unknown,TARGET
17988,unknown,TARGET
19101,unknown,TARGET
19801,unknown,TARGET
19842,unknown,TARGET
20000,dnp,TARGET
20031,unknown,TARGET
20221,unknown,TARGET
20222,ipulse-ics,TARGET
21571,unknown,TARGET
22939,unknown,TARGET
24800,unknown,TARGET
25734,unknown,TARGET
27715,unknown,TARGET
28201,unknown,TARGET
30000,ndmps,TARGET
30718,unknown,TARGET
31038,unknown,TARGET
32781,unknown,TARGET
32782,unknown,TARGET
33899,unknown,TARGET
34571,unknown,TARGET
34572,unknown,TARGET
34573,unknown,TARGET
40193,unknown,TARGET
48080,unknown,TARGET
49158,unknown,TARGET
49159,unknown,TARGET
49160,unknown,TARGET
50003,unknown,TARGET
50006,unknown,TARGET
50800,unknown,TARGET
57294,unknown,TARGET
58080,unknown,TARGET
60020,unknown,TARGET
63331,unknown,TARGET
65129,unknown,TARGET
89,su-mit-tg,TARGET
691,resvc,TARGET
212,anet,TARGET
1001,webpush,TARGET
1999,tcp-id-port,TARGET
2020,xinupageserver,TARGET
32776,sometimes-rpc15,TARGET
2998,iss-realsec,TARGET
6003,X11:3,TARGET
7002,afs3-prserver,TARGET
50002,iiimsf,TARGET
32,unknown,TARGET
898,sun-manageconsole,TARGET
2033,glogger,TARGET
3372,msdtc,TARGET
5510,secureidprop,TARGET
99,metagram,TARGET
425,icad-el,TARGET
749,kerberos-adm,TARGET
5903,vnc-3,TARGET
43,whois,TARGET
458,appleqtc,TARGET
5405,pcduo,TARGET
6106,isdninfo,TARGET
6502,netop-rc,TARGET
7007,afs3-bos,TARGET
13722,netbackup,TARGET
1087,cplscrambler-in,TARGET
1089,ff-annunc,TARGET
1124,hpvmmcontrol,TARGET
1152,winpoplanmess,TARGET
1183,llsurfup-http,TARGET
1186,mysql-cluster,TARGET
1247,visionpyramid,TARGET
1296,dproxy,TARGET
1334,writesrv,TARGET
1580,tn-tl-r1,TARGET
1782,hp-hcip,TARGET
2126,pktcable-cops,TARGET
2179,vmrdp,TARGET
2191,tvbus,TARGET
2251,dif-port,TARGET
2522,windb,TARGET
3011,trusted-web,TARGET
3030,arepa-cas,TARGET
3077,orbix-loc-ssl,TARGET
3261,winshadow,TARGET
3369,satvid-datalnk,TARGET
3370,satvid-datalnk,TARGET
3371,satvid-datalnk,TARGET
3493,nut,TARGET
3546,unknown,TARGET
3737,xpanel,TARGET
3828,neteh,TARGET
3851,spectraport,TARGET
3871,avocent-adsap,TARGET
3880,igrs,TARGET
3918,pktcablemmcops,TARGET
3995,iss-mgmt-ssl,TARGET
4006,pxc-spvr,TARGET
4111,xgrid,TARGET
4446,n1-fwp,TARGET
5054,rlm-admin,TARGET
5200,targus-getdata,TARGET
5280,xmpp-bosh,TARGET
5298,presence,TARGET
5822,unknown,TARGET
5859,wherehoo,TARGET
5904,ag-swim,TARGET
5915,unknown,TARGET
5922,unknown,TARGET
5963,indy,TARGET
7103,unknown,TARGET
7402,rtps-dd-mt,TARGET
7435,unknown,TARGET
7443,oracleas-https,TARGET
7512,unknown,TARGET
8011,unknown,TARGET
8090,opsmessaging,TARGET
8100,xprint-server,TARGET
8180,unknown,TARGET
8254,unknown,TARGET
8500,fmtp,TARGET
8654,unknown,TARGET
9091,xmltec-xmlmail,TARGET
9110,unknown,TARGET
9666,zoomcp,TARGET
9877,x510,TARGET
9943,unknown,TARGET
9944,unknown,TARGET
9998,distinct32,TARGET
10004,emcrmirccd,TARGET
10778,unknown,TARGET
15742,unknown,TARGET
16012,unknown,TARGET
18988,unknown,TARGET
19283,keysrvr,TARGET
19315,keyshadow,TARGET
19780,unknown,TARGET
24444,unknown,TARGET
27352,unknown,TARGET
27353,unknown,TARGET
27355,unknown,TARGET
32784,unknown,TARGET
49163,unknown,TARGET
49165,unknown,TARGET
49175,unknown,TARGET
50389,unknown,TARGET
50636,unknown,TARGET
51493,unknown,TARGET
55055,unknown,TARGET
56738,unknown,TARGET
61532,unknown,TARGET
61900,unknown,TARGET
62078,iphone-sync,TARGET
1021,exp1,TARGET
9040,tor-trans,TARGET
32777,sometimes-rpc17,TARGET
32779,sometimes-rpc21,TARGET
616,sco-sysmgr,TARGET
666,doom,TARGET
700,epp,TARGET
2021,servexec,TARGET
32778,sometimes-rpc19,TARGET
84,ctf,TARGET
545,ekshell,TARGET
1112,msql,TARGET
1524,ingreslock,TARGET
2040,lam,TARGET
4321,rwhois,TARGET
5802,vnc-http-2,TARGET
38292,landesk-cba,TARGET
49400,compaqdiag,TARGET
1084,ansoft-lm-2,TARGET
1600,issd,TARGET
2048,dls-monitor,TARGET
2111,kx,TARGET
3006,deslogind,TARGET
32780,sometimes-rpc23,TARGET
2638,sybase,TARGET
6547,powerchuteplus,TARGET
6699,napster,TARGET
9111,DragonIDSConsole,TARGET
16080,osxwebadmin,TARGET
555,dsf,TARGET
667,disclose,TARGET
720,unknown,TARGET
801,device,TARGET
1443,ies-lm,TARGET
1533,virtual-places,TARGET
2034,scoremgr,TARGET
2106,ekshell,TARGET
5560,isqlplus,TARGET
6007,X11:7,TARGET
1090,ff-fms,TARGET
1091,ff-sm,TARGET
1114,mini-sql,TARGET
1117,ardus-mtrns,TARGET
1119,bnetgame,TARGET
1122,availant-mgr,TARGET
1131,caspssl,TARGET
1138,encrypted_admin,TARGET
1151,unizensus,TARGET
1175,dossier,TARGET
1199,dmidi,TARGET
1201,nucleus-sand,TARGET
1271,excw,TARGET
1862,mysql-cm-agent,TARGET
2323,3d-nfsd,TARGET
2393,ms-olap1,TARGET
2394,ms-olap2,TARGET
2608,wag-service,TARGET
2725,msolap-ptp2,TARGET
2909,funk-dialout,TARGET
3003,cgms,TARGET
3168,poweronnud,TARGET
3221,xnm-clear-text,TARGET
3322,active-net,TARGET
3324,active-net,TARGET
3390,dsc,TARGET
3517,802-11-iapp,TARGET
3527,beserver-msg-q,TARGET
3800,pwgpsi,TARGET
3809,apocd,TARGET
3814,neto-dcs,TARGET
3826,wormux,TARGET
3869,ovsam-mgmt,TARGET
3878,fotogcad,TARGET
3889,dandv-tester,TARGET
3905,mupdate,TARGET
3914,listcrt-port-2,TARGET
3920,exasoftport1,TARGET
3945,emcads,TARGET
3971,lanrevserver,TARGET
4004,pxc-roid,TARGET
4005,pxc-pin,TARGET
4279,vrml-multi-use,TARGET
4445,upnotifyp,TARGET
4550,gds-adppiw-db,TARGET
4567,tram,TARGET
4848,appserv-http,TARGET
4900,hfcs,TARGET
5033,jtnetd-server,TARGET
5061,sip-tls,TARGET
5080,onscreen,TARGET
5087,biotic,TARGET
5221,3exmp,TARGET
5440,unknown,TARGET
5544,unknown,TARGET
5678,rrac,TARGET
5730,unieng,TARGET
5811,unknown,TARGET
5815,unknown,TARGET
5850,unknown,TARGET
